ESTADOS,CASOS
LA CECILIA,10928
PUERTA AL LLANO DE USME,10929
DONA LILIANA,10930
VERSALLES FONTIBON,10931
RONDA,10932
LA ESTRELLITA I,10933
CENTRO USME RURAL II,10934
SAN EUSEBIO,10935
NUEVA YORK,10936
EL NEVADO II,10937
SAN PEDRO DE LOS ROBLES,10938
PARAMO URBANO III,10939
VEREDA SUBA NARANJOS,10940
LA CABANA,10941
MARIA PAZ,10942
JUAN REY SUR,10943
MAZUREN,10944
BOSQUE DE PINOS III,10945
LILIANA,10946
GRANJAS DE SANTA SOFIA,10947
SAN ISIDRO,10948
CASABLANCA SUBA URBANO II,10949
VILLA ALSACIA II,10950
COOPERATIVA DE SUB-OFICIALES,10951
CIUDAD KENNEDY ORIENTAL,10952
CHICO NORTE,10953
LA ESPERANZA SUR I,10954
LA FRAGUA,10955
LA CAMELIA,10956
LIBERTADOR,10957
HIPOTECHO,10958
LA CATEDRAL,10959
BOSQUE DE PINOS,10960
TOCAREMA,10961
HORIZONTES NORTE,10962
SAN VICENTE,10963
MIRADOR DEL NORTE,10964
LAS AGUAS,10965
SANTANDER SUR,10966
RESTREPO OCCIDENTAL,10967
EL MUELLE,10968
BOLONIA I,10969
LOS OLIVARES,10970
LOS LIBERTADORES,10971
EL PORTAL URBANO,10972
PALERMO SUR,10973
SANTA ISABEL SUR,10974
RESTREPO,10975
MARCO FIDEL SUAREZ I,10976
ANDALUCIA II,10977
BOSQUE DE PINOS III RURAL,10978
PUENTE LARGO,10979
EL RINCON,10980
BARLOVENTO,10981
EL REDIL,10982
CORDILLERA DEL SUR,10983
PERDOMO ALTO,10984
SAN CARLOS,10985
TIBAQUE SUR,10986
CIUDAD LONDRES RURAL,10987
SIERRA MORENA,10988
LA CORUNA,10989
GALICIA,10990
CIUDAD BOLIVAR RURAL I,10991
SAN ANTONIO ENGATIVA,10992
SAN FRANCISCO RURAL,10993
LOS ANDES,10994
LAS LOMAS,10995
TIMIZA A,10996
SURAMERICA,10997
JERUSALEN,10998
CERROS DE ORIENTE,10999
LA CALLEJA,11000
LA ESPERANZA DE USME,11001
EL ROSARIO,11002
LA PAZ,11003
SAN FERNANDO,11004
PARQUE DISTRITAL SALITRE,11005
PIO XII,11006
SAN GABRIEL NORTE,11007
