code,localidad
1734,Bosa
1772,Bosa
3045,Puente Aranda
506,Fontibón
508,Fontibón
509,Fontibón
3102,Usaquén
3122,San Cristóbal
3135,Usaquén
3147,Usaquén
3156,Fontibón
3165,Fontibón
3196,Fontibón
632,Fontibón
638,Fontibón
644,Usaquén
659,San Cristóbal
677,Rafael Uribe
678,Rafael Uribe
690,Tunjuelito
723,San Cristóbal
3250,Chapinero
758,Rafael Uribe
763,Rafael Uribe
767,Barrios Unidos
3293,Puente Aranda
3294,Puente Aranda
3299,Barrios Unidos
773,Barrios Unidos
3307,Barrios Unidos
3327,Fontibón
808,Usaquén
813,Usaquén
816,Usaquén
819,Usaquén
843,Kennedy
846,Usaquén
875,Teusaquillo
884,Teusaquillo
3363,Puente Aranda
3390,Engativá
3401,Fontibón
1779,Bosa
1787,Bosa
3423,Rafael Uribe
3439,Usaquén
3440,Usaquén
3448,Usaquén
3452,Usaquén
1900,Bosa
1927,Bosa
1950,None
1951,None
1968,None
1986,None
1991,None
2029,None
2039,None
2065,None
2074,None
2077,None
2082,None
3509,Rafael Uribe
3515,Engativá
2154,None
3550,None
2189,None
337,Los Mártires
347,Usaquén
3592,None
3593,None
386,Engativá
389,Engativá
403,San Cristóbal
3628,Santa Fe
410,San Cristóbal
412,San Cristóbal
3643,Engativá
3668,None
3676,None
3703,San Cristóbal
3704,Chapinero
3706,None
3708,Bosa
3719,Bosa
3721,Bosa
3757,None
3759,None
3768,None
3786,Usaquén
3795,Usaquén
3810,Bosa
3814,Bosa
3817,Bosa
3818,Bosa
3829,San Cristóbal
3832,Chapinero
3852,Antonio Nariño
3855,Fontibón
3865,None
2501,Usaquén
2515,Usaquén
2518,Usaquén
2542,Usaquén
2570,Usaquén
2581,San Cristóbal
2602,San Cristóbal
2608,Fontibón
2612,Barrios Unidos
2628,San Cristóbal
2639,Engativá
2645,Engativá
2655,Engativá
2673,Chapinero
2688,Engativá
2692,Fontibón
2693,Engativá
2697,San Cristóbal
2699,San Cristóbal
2701,San Cristóbal
2703,San Cristóbal
2706,San Cristóbal
2710,Chapinero
2713,Chapinero
2717,Chapinero
2721,Chapinero
2735,Engativá
2741,None
2786,Rafael Uribe
2791,Teusaquillo
2855,Fontibón
2863,Teusaquillo
2879,Puente Aranda
2890,Puente Aranda
2920,Engativá
2942,San Cristóbal
2943,San Cristóbal
2945,San Cristóbal
2963,None
2969,Chapinero
2972,Chapinero
2978,None
2987,Engativá
2994,Fontibón
2999,Fontibón
2502,None
2505,Usaquén
1723,Bosa
1724,Bosa
1732,Bosa
1761,Bosa
1766,None
1809,Bosa
1816,Bosa
1866,Bosa
1876,Bosa
1884,Bosa
1905,Bosa
1915,Bosa
1931,Bosa
1943,None
1965,None
1984,None
1996,None
1997,None
2040,None
2042,None
2051,None
2061,None
2069,None
2080,None
2084,None
2100,None
2122,None
2124,None
2132,None
2161,None
2195,None
4,Usaquén
6,Chapinero
16,Engativá
18,Candelaria
2232,None
2234,None
2250,None
2259,None
2267,None
2268,None
2270,None
2277,None
37,Kennedy
99,Chapinero
121,Engativá
122,Usaquén
129,Fontibón
134,Engativá
147,Engativá
149,Rafael Uribe
171,Engativá
194,San Cristóbal
200,Candelaria
202,Bosa
204,Barrios Unidos
210,None
224,Candelaria
226,Usaquén
259,None
264,None
301,None
303,None
322,Fontibón
324,San Cristóbal
327,Engativá
329,Bosa
338,Los Mártires
351,Fontibón
366,Engativá
367,Engativá
378,Usaquén
388,Engativá
392,Engativá
396,Engativá
400,Santa Fe
408,San Cristóbal
411,San Cristóbal
417,San Cristóbal
435,San Cristóbal
441,None
502,Fontibón
522,Fontibón
538,Engativá
543,Engativá
544,Engativá
552,Engativá
554,Engativá
575,San Cristóbal
591,San Cristóbal
595,None
599,None
605,Rafael Uribe
613,Rafael Uribe
614,Candelaria
616,San Cristóbal
619,Rafael Uribe
621,Fontibón
3002,Fontibón
3004,Rafael Uribe
3014,Engativá
3025,Fontibón
3052,Puente Aranda
